iter	Logloss
0	0.554884443
11	0.447797698222	0.390158628133	0.361507154344	0.3186013705	5	0.3035086846	6	0.2796196967	7	0.25964848988	0.250602574799	0.2417192509110	0.2329249592111	0.2202528164112	0.2136609257113	0.2094661666114	0.2042010798115	0.1973310581116	0.1928583151717	0.1892644141818	0.1856785991919	0.1803682020	20	0.1769538421	21	0.171637212222	0.1666823852323	0.1636160262424	0.1607764432525	0.1577464626	26	0.1555975727	27	0.151637328	028	0.148994429	029	0.147323530	030	0.145445931	031	0.143803532	032	0.142180933	033	0.138245034	034	0.135861935	035	0.133391336	036	0.130463737	037	0.128612038	038	0.127555639	039	0.126672240	040	0.12570054141	0.1235675104242	0.1229967674343	0.1214434144444	0.1196661544545	0.1181290534646	0.1167295084747	0.1146301374848	0.1116167744949	0.1110839445050	0.1086844395151	0.106623544552	0.1047404579553	0.1040560784554	0.1016554673555	0.09922604825656	0.09756633357	57	0.09648954958	58	0.09455244759	59	0.0928953336060	0.09145036776161	0.09061635696262	0.08918026086363	0.08748904266464	0.0863469397665	0.08512446667666	0.08344534286667	0.0822662729
68	0.08130971577
69	0.07973090039
70	0.07785307712
71	0.07595589207772	0.0750057978
73	0.07391203895
74	0.07339741685775	0.07256258812776	0.07198388717777	0.0715602077778	0.0704881369879	0.07011669675
80	0.06920976421
81	0.06872242825
82	0.06800843626
83	0.06680500989
84	0.06601916214
85	0.06436818262
86	0.0637230429
87	0.06267677669
88	0.06214875287
89	0.06105748128
90	0.05974725009
91	0.05900613956
92	0.05842527312
93	0.0580939241
94	0.05725090282
95	0.0568640362
96	0.05586193735
97	0.05445577893
98	98	0.05341358299	99	0.0531681511100	0.052531917821101	0.051672374011102	0.0509656762
103	0.04979253947
104	0.048626197451105	0.047883253310106	0.047025013410107	0.046236651610108	0.0458592513109	0.04552482511
110	0.04507817702
111	0.04439725691
112	0.04403730101
113	0.04333609395
114	0.04263820212
115	0.04241461662
116	0.04182145466
1117	0.040525412941118	0.040015081531119	0.039271939621120	0.038379293751121	0.038010344141122	0.037751209551123	0.037202174721124	0.036673453651125	0.036121958126	0.03688174685
127	0.03609020052
128	0.0355306803
129	0.03511715103
130	0.03477043594
131	131	0.03398782132	132	0.03364136133	0.0336257586
134	0.03333650867
135	0.03289612567
136	0.03250815956
137	0.03222501383
138	0.0319250204
139	0.03150364049
140	0.0310967685
141	0.03106653586
142	0.03085353965
143	0.03047740648
144	0.03003502898
145	0.02968731496
146	0.02920309311
147	0.02874440761
148	0.02847855204
149	0.02825329048
150	0.02800561674
151	0.02781201582
152	0.02762808909
153	0.02745789928
154	0.0270828941
155	0.02674431625
156	0.02648086749
157	0.02614259301
158	0.02582886936
159	0.02572079744
160	0.02552035488
161	0.02533694101
162	0.02509348757
163	0.02462352558
164	0.02440720074
165	0.02413571363
166	0.02384959122
167	0.0236629761
168	0.0234797533
169	0.02327451723
170	0.0230770044
171	0.02283478621
172	0.02255587251
173	0.02240203764
174	0.02230941558
175	0.02210120954
176	0.02186244569
177	0.02159339556
178	0.02148275593
179	0.02107448109
180	0.02080631591
181	0.02057498704
182	0.02045258319
183	0.02021534455
184	0.02002602093
185	0.01985382657
186	0.01978754369
187	0.01966679075
188	0.01944909825
189	0.0190859394
190	0.01888004799
191	0.0188049474
192	0.0185705128
193	0.01841416049
194	0.01823607815
195	0.01803528194
196	0.01780954941
197	0.01761999616
198	0.0175149445
199	0.01725183095
70438
.01705906136
99	0.009718392981
